description,price/TB,idle,noise
"Western Digital Ultrastar DC HC520 12TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721212ALE600 / 0F30144 - - - €328.68",27.39,5.3,20
"Western Digital WD Purple 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD62PURZ - - - €164.94",27.49,5.5,25
"Western Digital Ultrastar DC HC330 10TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUS721010AL5204 / 0B42258 - - - €274.91",27.49,9,34
"Seagate SkyHawk +Rescue 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST2000VX017 - - - €55.04",27.52,2.5,26
"Western Digital WD Gold 24TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD242KRYZ - - - €660.59",27.52,5.6,20
"Toshiba N300 NAS Systems 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - MN10ADA400ES - - - €110.42",27.61,3.49,34
"Western Digital WD Purple Pro 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD102PURP - - - €276.43",27.64,8.2,34
"Western Digital WD Purple Pro 24TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD240PURP - - - €665",27.71,5.9,20
"Seagate IronWolf Pro NAS HDD +Rescue 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000NT001 - - - €277.31",27.73,7.8,28
"Seagate IronWolf Pro NAS HDD +Rescue 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST12000NE0008 - - - €332.9",27.74,5,20
"Seagate Constellation ES.3 4TB, 24/7, 512n / 3.5 / SATA 6Gb/s - - - ST4000NM0033 - - - €111",27.75,6.73,28
"Western Digital Ultrastar DC HC520 12TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721212ALE600 / 0F29590 - - - €333.03",27.75,5.3,20
"Western Digital Ultrastar DC HC520 12TB, SE, 24/7, 4Kn / 3.5 / SATA 6Gb/s - - - HUH721212ALN604 / 0F30143 - - - €333.03",27.75,5.3,20
"Western Digital WD Gold 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD121KRYZ - - - €333.73",27.81,5,20
"Toshiba Enterprise Capacity MG06ACA 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG06ACA10TE - - - €278.28",27.83,7.3,34
"Toshiba N300 NAS Systems 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG460UZSVA - - - €167.11",27.85,4.93,31
"Western Digital Ultrastar DC HC320 8TB, SE, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - HUS728T8TAL4204 / 0B36399 - - - €223.28",27.91,8.4,29
"Western Digital WD Red Plus 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD40EFPX - - - €111.88",27.97,3.1,23
"Western Digital WD Red Pro 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD121KFBX - - - €335.8",27.98,2.8,20
"Western Digital WD Purple Pro 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8002PURP - - - €223.89",27.99,6.5,29
"Western Digital WD Gold 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD102KRYZ - - - €280.49",28.05,8,34
"Seagate IronWolf Pro NAS HDD +Rescue 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST16000NE000 - - - €448.82",28.05,5,20
"Western Digital WD Purple 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD63PURZ - - - €168.38",28.06,3.7,23
"Western Digital WD Red Pro 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8005FFBX - - - €225",28.13,4.9,29
"Western Digital Ultrastar DC HC555 12TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722012CL52L4 / 0B47741 - - - €337.79",28.15,5.4,20
"Toshiba Enterprise Capacity MG08-D ADA 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG08ADA600E - - - €168.98",28.16,4.9,31
"Western Digital WD Purple 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD60PURZ - - - €169.03",28.17,4.9,25
"Toshiba X300 Performance 14TB, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWR51EUZSVA - - - €395.28",28.23,3.77,20
"Western Digital WD Gold 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8005FRYZ - - - €227.8",28.48,6.5,29
"Western Digital WD Purple 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD42PURZ - - - €114.1",28.53,3.7,23
"Western Digital Ultrastar DC HC520 12TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUH721212AL5204 / 0F29532 - - - €342.72",28.56,6.1,20
"Toshiba P300 Desktop PC 2TB, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWD220UZSVA - - - €57.13",28.57,2.11,21
"Western Digital Ultrastar DC HC530 14TB, SE, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - WUH721414AL4204 / 0F31002 - - - €399.95",28.57,5.9,20
"Toshiba P300 Desktop PC 2TB, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWD320UZSVA - - - €57.17",28.59,2.92,25
"Toshiba N300 NAS Systems 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWG740EZSTC - - - €114.94",28.74,3.49,34
"Western Digital WD Red Pro 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD103KFBX - - - €289.73",28.97,6.1,34
"Western Digital WD Gold 14TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD141KRYZ - - - €407.86",29.13,5.5,20
"Seagate BarraCuda Compute 2TB, 512e / 3.5 / SATA 6Gb/s - - - ST2000DM008 / ST2000DMA08 - - - €58.45",29.23,3.9,29
"Western Digital WD Purple 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD102PURZ - - - €292.45",29.25,8,34
"Western Digital Ultrastar DC HC520 12TB, ISE, 24/7, 4Kn / 3.5 / SATA 6Gb/s - - - HUH721212ALN600 / 0F30141 - - - €351.91",29.33,5.3,20
"Western Digital Ultrastar DC HC320 8TB, SE, 24/7, 4Kn / 3.5 / SATA 6Gb/s - - - HUS728T8TALN6L4 / 0B36402 - - - €234.76",29.35,7.4,29
"Western Digital WD Blue 2TB, 512e / 3.5 / SATA 6Gb/s - - - WD20EZBX - - - €59.03",29.52,3.7,25
"Western Digital Ultrastar DC HC520 12TB, ISE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUH721212AL5200 / 0F29530 - - - €356.53",29.71,6.1,20
"Seagate BarraCuda Compute 5TB, 512e / 2.5 / SATA 6Gb/s - - - ST5000LM000 / ST5000LMA00 - - - €148.88",29.78,1.1,26
"Toshiba S300 Surveillance 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWT720UZSVA - - - €59.63",29.82,2.08,21
"Western Digital WD Blue 4TB, 512e / 3.5 / SATA 6Gb/s - - - WD40EZAZ - - - €119.99",30,3.1,23
"Western Digital Ultrastar DC HC320 8TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUS728T8TAL5204 / 0B36400 - - - €241.12",30.14,8.4,29
"Western Digital Ultrastar DC HC320 8TB, TCG, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS728T8TALE6L1 / 0B36410 - - - €241.12",30.14,7.4,29
"Seagate BarraCuda Compute 3TB, 512e / 3.5 / SATA 6Gb/s - - - ST3000DM007 / ST3000DMA07 - - - €91",30.33,2.5,22
"Western Digital Ultrastar DC HA340 8TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUS721208BLE6L4 / 0B47078 - - - €243.74",30.47,6.7,29
"Toshiba S300 Pro Surveillance 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWT360UZSVA - - - €183.08",30.51,5.59,34
"Toshiba X300 Performance 18TB, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWR51JUZSVA - - - €549.9",30.55,4.14,20
"Seagate IronWolf Pro NAS HDD +Rescue 18TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST18000NE000 - - - €549.95",30.55,5.2,20
"Western Digital WD Purple 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD33PURZ - - - €91.9",30.63,3.7,23
"Seagate FireCuda HDD +Rescue 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000DX001 / ST8000DXA01 - - - €245.95",30.74,6.1,28
"Seagate SkyHawk +Rescue 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000VX015 - - - €92.38",30.79,2.5,23
"Western Digital WD Red Plus 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD80EFZZ - - - €246.98",30.87,4.1,25
"Western Digital WD Purple 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD40PURX - - - €125.05",31.26,4.5,26
"Seagate IronWolf NAS HDD +Rescue 14TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST14000VN0008 - - - €437.95",31.28,5.3,28
"Toshiba X300 Performance 12TB, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWR21CUZSVA - - - €376.41",31.37,4.54,20
"Toshiba N300 NAS Systems 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG440UZSVA - - - €125.57",31.39,4.04,31
"Western Digital WD Blue 2TB, 512e / 3.5 / SATA 6Gb/s - - - WD20EARZ - - - €63.46",31.73,2.4,21
"Seagate Surveillance HDD 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000VX0001 - - - €190.89",31.82,6.7,28
"Seagate IronWolf Pro NAS HDD +Rescue 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000NE001 - - - €128.9",32.23,5.5,27
"Western Digital WD Red Pro 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD4005FFBX - - - €129.98",32.5,4,29
"Western Digital WD Purple 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD82PURZ - - - €260.01",32.5,7.4,27
"Seagate BarraCuda Compute 4TB, 512e / 2.5 / SATA 6Gb/s - - - ST4000LM024 / ST4000LMA24 - - - €130.08",32.52,1.1,26
"Western Digital WD Red Plus Retail Kit 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - WDBC9V0040HH1 - - - €130.14",32.54,3.1,23
"Seagate IronWolf Pro NAS HDD +Rescue 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000NE0008 - - - €328.1",32.81,5,28
"Seagate IronWolf Pro NAS HDD +Rescue 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000NT001 - - - €197",32.83,7.1,28
"Western Digital Ultrastar DC HC310 6TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS726T6TALE6L4 / 0B36039 - - - €197.66",32.94,5.9,29
"Seagate BarraCuda Pro +Rescue 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000DM0004 / ST10000DMA004 - - - €329.95",33,5,30
"Western Digital WD Red Plus Retail Kit 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - WDBAVV0040HNC - - - €132.24",33.06,3.3,25
"Toshiba Enterprise Capacity MG10-D ADA 6TB, 24/7, 512e/4Kn / 3.5 / SATA 6Gb/s - - - MG10ADA600E - - - €198.49",33.08,4.14,34
"Western Digital WD Red Pro 26TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD260KFGX - - - €866.99",33.35,3.9,25
"Western Digital WD Red Pro 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD102KFBX - - - €333.95",33.4,4.6,34
"Western Digital WD Red Plus 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD40EFZX - - - €133.59",33.4,3.1,23
"Western Digital WD Purple 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD23PURZ - - - €67.06",33.53,3.2,21
"Western Digital WD Red Pro 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD6005FFBX - - - €202.67",33.78,4.9,29
"Western Digital WD Gold 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD6004FRYZ - - - €203.35",33.89,5.5,29
"Seagate IronWolf NAS HDD 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000VN0004 - - - €339.75",33.98,5,28
"Seagate IronWolf Pro NAS HDD +Rescue 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000NT001 - - - €135.91",33.98,5.5,27
"Seagate IronWolf Pro NAS HDD +Rescue 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000NE001 - - - €275.75",34.47,7.8,28
"Western Digital WD Purple Pro 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8001PURP - - - €276",34.5,7.4,27
"Toshiba Enterprise Capacity MG08-D SDA 6TB, 24/7, 512e / 3.5 / SAS 12Gb/s - - - MG08SDA600E - - - €207.97",34.66,5.39,31
"Western Digital WD Purple 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD40PURZ - - - €139",34.75,4.5,26
"Western Digital Ultrastar DC HC310 6TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUS726T6TAL5204 / 0B36047 - - - €209.76",34.96,7,29
"Seagate IronWolf NAS HDD 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000VN0022 - - - €280.61",35.08,7.2,27
"Toshiba Enterprise Capacity MG10-D SDA 6TB, 24/7, 512e/4Kn / 3.5 / SAS 12Gb/s - - - MG10SDA600E - - - €210.75",35.13,4.55,34
"Western Digital Ultrastar DC HA340 6TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUS721206BLE6L4 / 0B47077 - - - €211.48",35.25,5.8,29
"Toshiba Enterprise Capacity MG05ACA 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG05ACA800E - - - €283.46",35.43,6.2,31
"Western Digital WD Red Plus 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD80EFBX - - - €283.88",35.49,5.3,27
"Seagate SkyHawk AI 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST16000VE000 - - - €569.95",35.62,5.1,18
"Seagate SkyHawk AI 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000VE000 - - - €214.09",35.68,7.5,30
"Western Digital Ultrastar DC HC310 6TB, SE, 24/7, 4Kn / 3.5 / SATA 6Gb/s - - - HUS726T6TALN6L4 / 0B35946 - - - €214.91",35.82,5.9,29
"Toshiba Enterprise Capacity MG07SCA 12TB, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - MG07SCA12TA - - - €429.95",35.83,4.36,20
"Seagate IronWolf NAS HDD +Rescue 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000VN006 - - - €107.74",35.91,3.96,23
"Seagate SkyHawk +Rescue 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST2000VX015 - - - €71.91",35.96,2.5,26
"Seagate IronWolf Pro NAS HDD +Rescue 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST6000NE000 - - - €217.75",36.29,7.1,28
"Western Digital WD Purple 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD60PURX - - - €219",36.5,4.9,25
"Western Digital WD Red Pro 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD6003FFBX - - - €220.5",36.75,3.7,29
"Western Digital WD Blue 3TB, 512e / 3.5 / SATA 6Gb/s - - - WD30EZAX - - - €110.3",36.77,3.1,23
"Western Digital Ultrastar DC HC510 10TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721010ALE600 / 0F27452 - - - €369.75",36.98,5,20
"Seagate Mobile HDD 2TB, 512e / 2.5 / SATA 6Gb/s - - - ST2000LM007 - - - €74.9",37.45,0.5,22
"Toshiba Enterprise Capacity MG06ACA 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG06ACA800E - - - €299.95",37.49,6.4,34
"Toshiba X300 Performance 4TB, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWR740EZSTA - - - €150.48",37.62,3.49,34
"Western Digital WD_BLACK 6TB, 512e / 3.5 / SATA 6Gb/s - - - WD6004FZWX - - - €225.94",37.66,7.9,28
"Seagate IronWolf NAS HDD +Rescue 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000VN0008 - - - €379.75",37.98,5,18
"Western Digital WD Green 5TB, 512e / 3.5 / SATA 6Gb/s - - - WD50EZRX - - - €189.95",37.99,3.4,25
"Seagate Exos X - X10 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST10000NM0016 - - - €379.95",38,4.5,28
"Toshiba L200 Laptop PC 2TB, 512e / 2.5 / SATA 6Gb/s, bulk - - - HDWL120UZSVA - - - €76.37",38.19,0.85,23
"Seagate FireCuda HDD +Rescue 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000DX005 / ST4000DXA05 - - - €153.26",38.32,3.8,28
"Seagate SkyHawk AI 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST12000VE0008 - - - €459.95",38.33,5.1,18
"Seagate BarraCuda Compute 2TB, 512e / 2.5 / SATA 6Gb/s - - - ST2000LM015 / ST2000LMA15 - - - €76.88",38.44,0.5,22
"Western Digital Ultrastar DC HC310 6TB, TCG, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUS726T6TAL5201 / 0B36049 - - - €230.69",38.45,7,29
"Western Digital WD Gold 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD8004FRYZ - - - €309",38.63,7.4,29
"Western Digital WD_BLACK 10TB, 512e / 3.5 / SATA 6Gb/s - - - WD101FZBX - - - €388.46",38.85,4.6,34
"Toshiba Client HDD MQ04AB 1TB, 512e / 2.5 / SATA 6Gb/s - - - MQ04ABF100 - - - €38.95",38.95,0.6,19
"Western Digital Ultrastar DC HC510 10TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721010ALE604 / 0F27454 - - - €389.95",39,5,20
"Western Digital WD Blue Mobile 2TB, 512e / 2.5 / SATA 6Gb/s - - - WD20SPZX - - - €78.29",39.15,0.5,23
"Western Digital WD_BLACK 10TB, 512e / 3.5 / SATA 6Gb/s - - - WD102FZBX - - - €397.3",39.73,8.2,34
"Western Digital WD_BLACK 8TB, 512e / 3.5 / SATA 6Gb/s - - - WD8002FZBX - - - €318.56",39.82,6.5,29
"Seagate Mobile HDD 1TB, 512e / 2.5 / SATA 6Gb/s - - - ST1000LM035 - - - €39.9",39.9,0.45,20
"Seagate SkyHawk AI 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000VE000 - - - €319.95",39.99,7.5,30
"Western Digital WD Desktop Everyday 2TB, 3.5 / SATA 6Gb/s, retail - - - WDBH2D0020HNC - - - €79.99",40,5.5,24
"Seagate IronWolf NAS HDD 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST12000VN0007 - - - €479.95",40,4.4,28
"Western Digital WD Purple 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD30PURX - - - €120.13",40.04,4.1,23
"Toshiba Enterprise Capacity MG10-D ADA 4TB, 24/7, 512e/4Kn / 3.5 / SATA 6Gb/s - - - MG10ADA400E - - - €160.32",40.08,3.49,34
"Seagate SkyHawk 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000VX0022 - - - €322.75",40.34,7.6,30
"Western Digital WD Gold 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD4004FRYZ - - - €161.9",40.48,5.4,29
"Western Digital WD Gold 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD6002FRYZ - - - €243.4",40.57,7.1,29
"Western Digital WD Purple 5TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD50PURX - - - €203.07",40.61,4.9,25
"Western Digital WD_BLACK 8TB, 512e / 3.5 / SATA 6Gb/s - - - WD8002FZWX - - - €328.42",41.05,7.9,28
"Western Digital Ultrastar DC HC310 4TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUS726T4TALE6L4 / 0B36040 - - - €167.35",41.84,5.9,29
"Western Digital WD Purple 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD30PURZ - - - €126.02",42.01,4.1,23
"Western Digital WD AV-GP 1TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD10EURX - - - €42.27",42.27,3.3,23
"Seagate Exos E - 5E8 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000AS0003 - - - €339.99",42.5,3.7,23
"Western Digital Ultrastar DC HC510 10TB, SED, 24/7, 512e / 3.5 / SATA 6Gb/s - - - HUH721010ALE601 / 0F27605 - - - €426.49",42.65,5,20
"Western Digital WD Purple 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD20PURX - - - €85.9",42.95,4.1,23
"Western Digital WD Green 6TB, 512e / 3.5 / SATA 6Gb/s - - - WD60EZRX - - - €258.95",43.16,3.4,25
"Seagate SkyHawk +Rescue 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST2000VX008 - - - €86.4",43.2,4,30
"Seagate Desktop HDD 2TB, 512e / 3.5 / SATA 6Gb/s - - - ST2000DM001 - - - €87",43.5,5.4,27
"Western Digital Ultrastar DC HA340 4TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUS721204BLE6L4 / 0B47076 - - - €174.19",43.55,5.8,29
"Toshiba DT01ACA 500GB, 512e / 3.5 / SATA 6Gb/s - - - DT01ACA050 - - - €21.8",43.6,3.7,25
"Seagate Pipeline HD 5900.2 320GB, 24/7, 3.5 / SATA 3Gb/s - - - ST3320311CS - - - €14.02",43.81,3,19
"Seagate IronWolf NAS HDD +Rescue 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST2000VN003 - - - €88.31",44.16,2.5,23
"Western Digital WD Red Pro 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD4003FFBX - - - €178.46",44.62,3.7,29
"HGST Ultrastar 7K6000 4TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUS726040AL5214 / 0F22815 - - - €179",44.75,7.7,29
"Seagate Video 3.5 HDD 2TB, 24/7, 3.5 / SATA 6Gb/s - - - ST2000VM003 - - - €89.95",44.98,3.74,23
"Seagate Desktop SSHD 1TB, 512e / 3.5 / SATA 6Gb/s - - - ST1000DX001 - - - €45",45,3.3,22
"Western Digital Ultrastar DC HC310 4TB, SE, 24/7, 4Kn / 3.5 / SATA 6Gb/s - - - HUS726T4TALN6L4 / 0B35948 - - - €180.98",45.25,5.9,29
"Western Digital Ultrastar DC HC310 4TB, SE, 24/7, 512n / 3.5 / SATA 6Gb/s - - - HUS726T4TALA6L4 / 0B35950 - - - €182.02",45.51,5.9,29
"Seagate IronWolf NAS HDD +Rescue 3TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST3000VN007 - - - €137.13",45.71,4.9,23
"Western Digital Ultrastar DC HC310 4TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - HUS726T4TAL5204 / 0B36048 - - - €183.15",45.79,7,29
"Toshiba Video Stream HDD 500GB, 2.5 / SATA 3Gb/s - - - MQ01ABD050V - - - €22.9",45.8,0.55,17
"Western Digital Ultrastar DC HC510 10TB, ISE, 24/7, 4Kn / 3.5 / SAS 12Gb/s - - - HUH721010AL4200 / 0F27402 - - - €459.95",46,5.8,20
"Western Digital WD Purple 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD22PURZ - - - €92.14",46.07,3.2,21
"Western Digital WD AV-25 320GB, 24/7, 512e / 2.5 / SATA 3Gb/s - - - WD3200BUCT - - - €14.75",46.09,0.85,22
"Western Digital WD Red Plus 2TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD20EFPX - - - €92.22",46.11,3.1,21
"Western Digital WD Red Pro 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - WDBRJY0040HNC - - - €184.83",46.21,3.7,29
